1394519239,15,0,15,9959,10,0,0,0,41
1394519299,5,0,15,9964,15,0,0,0,36
1394519359,10,0,10,9969,10,0,0,0,31
1394519419,10,0,10,9964,15,0,0,0,36
1394519479,10,0,10,9964,15,0,0,0,36
1394519539,10,0,15,9974,0,0,0,0,26
1394519599,10,0,10,9969,10,0,0,0,31
1394519659,10,0,10,9969,10,0,0,0,31
1394519719,10,0,10,9969,10,0,0,0,31
1394519779,15,0,10,9960,15,0,0,0,40
1394519839,10,0,10,9964,10,0,5,5,36
1394519899,15,0,5,9964,15,0,0,0,36
1394519959,5,0,10,9974,10,0,0,0,26
1394520019,15,0,10,9960,15,0,0,0,40
1394520079,10,0,10,9964,15,0,0,0,36
1394520139,10,0,10,9964,15,0,0,0,36
1394520199,10,0,10,9964,15,0,0,0,36
1394520259,10,0,15,9960,15,0,0,0,40
1394520319,10,0,10,9964,15,0,0,0,36
1394520379,10,0,10,9964,15,0,0,0,36
1394520439,10,0,10,9964,15,0,0,0,36
1394520499,10,0,15,9960,15,0,0,0,40
1394520559,10,0,10,9969,10,0,0,0,31
1394520619,10,0,5,9964,15,0,5,5,36
1394520679,10,0,10,9969,10,0,0,0,31
1394520739,15,0,10,9965,10,0,0,0,35
1394520799,10,0,10,9969,10,0,0,0,31
1394520859,15,0,10,9959,15,0,0,0,41
1394520919,10,0,10,9964,15,0,0,0,36
1394520979,10,0,10,9964,15,0,0,0,36
1394521039,10,0,10,9964,15,0,0,0,36
1394521099,10,0,10,9969,10,0,0,0,31
1394521159,10,0,15,9964,10,0,0,0,36
1394521219,10,0,10,9964,15,0,0,0,36
1394521279,10,0,10,9969,10,0,0,0,31
1394521339,10,0,10,9969,10,0,0,0,31
1394521399,5,0,15,9964,15,0,0,0,36
1394521459,15,0,10,9960,15,0,0,0,40
1394521519,10,0,15,9960,15,0,0,0,40
1394521579,15,0,10,9955,20,0,0,0,45
1394521639,15,0,10,9954,20,0,0,0,46
1394521699,10,0,15,9969,5,0,0,0,31
1394521759,15,0,5,9959,20,0,0,0,41
1394521819,10,0,15,9950,25,0,0,0,50
1394521879,15,0,5,9954,25,0,0,0,46
1394521939,10,0,10,9959,20,0,0,0,41
