1394519239,0.12,0.04,0.05,1/339,25525
1394519299,0.11,0.06,0.06,1/342,25568
1394519359,0.11,0.08,0.06,1/342,25607
1394519419,0.11,0.09,0.07,1/342,25645
1394519479,0.11,0.10,0.07,1/342,25682
1394519539,0.11,0.11,0.08,1/342,25721
1394519599,0.07,0.11,0.08,1/342,25757
1394519659,0.09,0.12,0.08,1/342,25793
1394519719,0.07,0.11,0.08,1/342,25830
1394519779,0.03,0.09,0.08,1/341,25867
1394519839,0.27,0.14,0.09,1/340,25903
1394519899,0.10,0.11,0.08,1/342,25941
1394519959,0.07,0.11,0.08,2/343,25978
1394520019,0.03,0.09,0.08,1/342,26015
1394520079,0.01,0.07,0.07,2/343,26053
1394520139,0.00,0.06,0.07,1/342,26088
1394520199,0.04,0.06,0.07,2/341,26131
1394520259,0.01,0.05,0.06,2/341,26167
1394520319,0.00,0.04,0.05,1/340,26203
1394520379,0.00,0.04,0.05,2/341,26241
1394520439,0.00,0.03,0.05,1/340,26276
1394520499,0.00,0.02,0.05,1/340,26313
1394520559,0.00,0.02,0.05,2/341,26350
1394520619,0.00,0.01,0.05,1/340,26387
1394520679,0.00,0.01,0.05,2/342,26425
1394520739,0.00,0.01,0.05,2/342,26461
1394520799,0.00,0.01,0.05,1/340,26504
1394520859,0.00,0.01,0.05,2/342,26542
1394520919,0.00,0.01,0.05,2/342,26578
1394520979,0.00,0.01,0.05,1/340,26613
1394521039,0.00,0.01,0.05,2/341,26650
1394521099,0.00,0.01,0.05,2/341,26687
1394521159,0.00,0.01,0.05,1/340,26722
1394521219,0.00,0.01,0.05,1/340,26760
1394521279,0.00,0.01,0.05,1/340,26825
1394521339,0.00,0.01,0.05,1/340,26861
1394521399,0.00,0.01,0.05,1/341,26898
1394521459,0.00,0.01,0.05,1/341,26935
1394521519,0.00,0.01,0.05,1/341,26971
1394521579,0.00,0.01,0.05,1/343,27011
1394521639,0.00,0.01,0.05,1/343,27047
1394521699,0.00,0.01,0.05,1/342,27083
1394521759,0.00,0.01,0.05,2/340,27121
